번호,H S K,한 글 품 명,영 문 품 명,칠레,싱가 포르,EFTA,아세안,인도,EU (25.7.1~ 26.6.30),EU (26.7.1~ 27.6.30),페루,미국,콜롬 비아,튀르 키예,캐나다,호주,베트남,중국,뉴질 랜드,중미- 코스타리카,중미- 엘살바도르,중미- 온두 라스,중미-니카 라과,중미-파나마,영국 (25.7.1~ 26.6.30),영국 (26.7.1~ 27.6.30),인도네시아,이스 라엘,캄보 디아,RCEP- 뉴질 랜드,RCEP- 아세안,RCEP- 일본,RCEP- 중국,RCEP- 호주,필리핀,UAE
942,1513.21.2000,바바수유(조유),Babassu oil (Crude),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
943,1513.29.1010,팜핵유(정제유),Palm kernel oil (Refined),0,0,4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,0
944,1513.29.1020,바바수유(정제유),Babassu oil (Refined),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
945,1513.29.9000,"팜핵, 바바수유 기타","Other palm kernel oil, babassu oil and fractions",0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
946,1514.11.0000,유채유와 그 분획물(저에루크산/조유),Low erucic acid rape or colza oil and its fractions (Crude),미양허,0,9(CH 미양허),0,미양허,0,0,0,0,2.5,0,0,0,0,5,1.6,미양허,미양허,미양허,미양허,미양허,0,0,0,5,0,4.7,4.7,미양허,미양허,4.7,0,0
947,1514.19.1000,유채유와 그 분획물(저에루크산/정제유),Low erucic acid rape or colza oil and its fractions (Refined),미양허,0,미양허,5,미양허,0,0,0,0,3.1,0,0,0,5,5,2,미양허,미양허,미양허,미양허,미양허,0,0,1,5,0,5,5,미양허,미양허,5,미양허,0
948,1514.19.9000,유채유와 그 분획물(저에루크산/기타),Low erucic acid rape or colza oil and its fractions (Other),미양허,0,미양허,5,미양허,0,0,0,0,0,7,0,0,5,0,0,1.6,2,1.6,1.6,2.5,0,0,0,3,0,0,0,0,0,0,3,0
949,1514.91.1000,유채유(기타/레이프유 또는 콜자유/조유),Other rape or colza oil (Crude),미양허,미양허,9(CH 미양허),0,미양허,0,0,0,0,2.5,0,0,1,0,0,1.6,미양허,미양허,미양허,미양허,미양허,0,0,0,5,0,2.5,2.5,2.5,2.5,2.5,0,0
950,1514.91.2000,겨자유(조유),Mustard oil (Crude),미양허,0,미양허,0,미양허,0,0,0,0,0,30,0,4,0,0,6,1,1.5,1,1,2,0,0,0,3,0,2.5,2.5,2.5,2.5,2.5,0,0
951,1514.99.1010,유채유(기타/레이프유 또는 콜자유/정제유),Other Rape oil or colza oil (Refined),미양허,0,미양허(CH 27),5,미양허,0,0,0,0,0,0,0,1.3,5,0,2,1,1.5,1,1,2,0,0,1,3,2.5,2.5,2.5,2.5,2.5,2.5,3.7,0
952,1514.99.1020,겨자유(정제유),Mustard oil (Refined),미양허,0,미양허(CH 27),5,미양허,0,0,0,0,0,0,0,4,5,0,6,1,1.5,1,1,2,0,0,1,3,2.5,2.5,2.5,2.5,2.5,2.5,3.7,0
953,1514.99.9000,유채유 또는 겨자유와 그 분획물(기타),"Other rape, colza or mustrad oil and fractions",미양허,0,미양허(CH 27),5,미양허,0,0,0,0,0,0,10,1.3,5,0,2,1,1.5,1,1,2,0,0,1,3,2.5,2.5,2.5,2.5,2.5,2.5,3.7,0
954,1515.11.0000,아마씨유(조유),Linseed oil (Crude),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
955,1515.19.0000,아마씨유(기타),Other linseed oil and its fractions,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
956,1515.21.0000,옥수수유(조유),Maize oil (Crude),미양허,0,7.2(CH 미양허),0,미양허,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1,1,2,0,0,0,3,0,2.5,2.5,2.5,2.5,2.5,0,4
957,1515.29.0000,옥수수유(기타),Other maize oil and its fractions,0,0,7.2(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,0,0,1.6,2,1.6,1.6,2.5,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
958,1515.30.0000,피마자유와 그 분획물,Castor oil and its fractions,0,0,6.4(CH 미양허),0,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
959,1515.50.0000,참기름과 그 분획물,Sesame oil and its fractions,미양허,미양허,미양허,"504% or 9,648원/kg",미양허,"132.6% 또는 2,538원/kg 양자중 고액(율)","99.4% 또는 1,904원/kg 양자중 고액(율)",0,42% or 804원/kg/630(61.0M/T) ASG,"630% or 12,060원/kg","630% or 12,060원/kg","630% or 12,060원/kg","630.0% or 12,060원/kg","504% or 9,648원/kg","630% or 12,060원/kg","630% or 12,060원/kg",미양허,미양허,미양허,"315% 또는 6,030원/Kg, 양자 중 고액(율)",미양허,"132.6% 또는 2,538원/kg 양자중 고액(율)","99.4% 또는 1,904원/kg 양자중 고액(율)",미양허,"630% 또는 12,060원/kg, 양자 중 고액(율)","504% or 9,648원/kg",미양허,미양허,미양허,미양허,미양허,미양허,"630.0% 또는 12,060원/kg, 양자 중 고액(율)"
